playlist_id,playlist_name,collection_date,mean_track_date,playlist_type,nb_tracks,nb_clusters,nb_clusters_2,hh_index,hh_index_2,distances,distances_2,distances_3,stirling_index,stirling_index_2,playlist_followers
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-06-02,2022-10-22 07:12:00,Charts,50,4,4,2936.0,2936.0,0.56344420747523,0.56344420747523,0.912852506637802,[[0.24299345]],[[0.24299345]],833325
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-06-09,2022-11-08 18:14:24,Charts,50,3,8,3464.0,1752.0,0.462510897242336,0.852156170380809,0.941441654852323,[[0.2225546]],[[0.33097895]],835504
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-06-16,2022-11-07 17:16:48,Charts,50,2,5,5800.0,2256.0,0.310136676089742,0.614950958527627,0.936521514233351,[[0.1302574]],[[0.27574959]],836376
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-06-23,2022-11-05 11:02:24,Charts,50,2,9,5128.0,1560.0,0.292827359935242,0.848651401585048,0.934395145715444,[[0.14266549]],[[0.33557267]],837139
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-06-30,2022-11-07 00:57:36,Charts,50,3,7,3368.0,1648.0,0.451369395336205,0.707885277155786,0.930266426691145,[[0.22591569]],[[0.31791034]],837895
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-07-07,2023-02-07 18:14:24,Charts,50,2,8,5392.0,1840.0,0.331246133886478,0.778720012415087,0.912567667873962,[[0.15263822]],[[0.30765615]],838759
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-07-14,2022-12-14 12:28:48,Charts,50,3,8,3624.0,1440.0,0.463114955601751,0.739701786957661,0.913278812265493,[[0.21003293]],[[0.33020736]],839645
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-07-21,2022-12-03 08:38:24,Charts,50,3,7,4136.0,1672.0,0.455395646380987,0.708802187876474,0.916392380931607,[[0.19970812]],[[0.30968551]],840491
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-07-28,2022-11-23 22:04:48,Charts,50,3,10,3336.0,1400.0,0.452985575886019,0.85570051791252,0.933430268809805,[[0.22577547]],[[0.34542247]],841572
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-08-04,2022-11-28 04:19:12,Charts,50,3,9,3912.0,1720.0,0.48760259812132,0.869445680965672,0.832892898285187,[[0.202291]],[[0.31165843]],842280
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-08-11,2022-12-17 16:48:00,Charts,50,2,5,7048.0,2880.0,0.345379120761248,0.759741879883402,0.823272257301466,[[0.10195592]],[[0.24321931]],842997
